timestamp,subject,body,prediction,confidence,shap_values
2025-10-25T08:04:13.766630,Meeting Agenda for Project Alpha,"Please find the agenda for our upcoming Project Alpha meeting attached.
Key points for discussion:
Q3 progress review
Upcoming sprint planning
Budget allocation
Looking forward to a productive meeting.",legit,0.5963798820247566,"[{'feature': 'email', 'impact': 0.6829545477648767}, {'feature': 'project', 'impact': -0.3722523048944388}, {'feature': 'meeting', 'impact': -0.21162347148286403}, {'feature': 'key', 'impact': -0.18904691427905698}, {'feature': 'forward', 'impact': -0.15338975757195245}, {'feature': 'upcoming', 'impact': -0.12960066225405875}, {'feature': 'alpha', 'impact': -0.12887212145033966}, {'feature': 'points', 'impact': -0.12533409477261767}]"
2025-10-25T08:04:19.543332,"Please find the agenda for our upcoming Project Alpha meeting attached.
Key points for discussion:
Q3 progress review
Upcoming sprint planning
Budget allocation
Looking forward to a productive meeting.",phish
2025-10-25T08:04:20.334126,"Please find the agenda for our upcoming Project Alpha meeting attached.
Key points for discussion:
Q3 progress review
Upcoming sprint planning
Budget allocation
Looking forward to a productive meeting.",legit
2025-10-25T08:17:09.179143,Following up on today's webinar,"Thank you for attending the webinar earlier today. It was great to have you there.
Here is the link to the recording for your reference: [Link to recording]
Please let me know if you have any questions after reviewing the materials.
Best regards,",legit,0.7223182958124288,"[{'feature': 'email', 'impact': 0.6829545477648767}, {'feature': 'regards', 'impact': -0.36902344633578}, {'feature': 'following', 'impact': -0.363977797211401}, {'feature': 'link', 'impact': -0.333473547021569}, {'feature': 'thank', 'impact': -0.30390935748668424}, {'feature': 'know', 'impact': -0.24972333693953136}, {'feature': 'questions', 'impact': -0.21206224935228996}, {'feature': 'best', 'impact': 0.17319951855123392}]"
2025-10-25T08:17:14.092181,Following up on today's webinar,"Thank you for attending the webinar earlier today. It was great to have you there.
Here is the link to the recording for your reference: [Link to recording]
Please let me know if you have any questions after reviewing the materials.
Best regards,",legit,0.7223182958124288,"[{'feature': 'email', 'impact': 0.6829545477648767}, {'feature': 'regards', 'impact': -0.36902344633578}, {'feature': 'following', 'impact': -0.363977797211401}, {'feature': 'link', 'impact': -0.333473547021569}, {'feature': 'thank', 'impact': -0.30390935748668424}, {'feature': 'know', 'impact': -0.24972333693953136}, {'feature': 'questions', 'impact': -0.21206224935228996}, {'feature': 'best', 'impact': 0.17319951855123392}]"
2025-10-25T08:17:19.266611,Following up on today's webinar,"Thank you for attending the webinar earlier today. It was great to have you there.
Here is the link to the recording for your reference: [Link to recording]
Please let me know if you have any questions after reviewing the materials.
Best regards,",legit,0.7223182958124288,"[{'feature': 'email', 'impact': 0.6829545477648767}, {'feature': 'regards', 'impact': -0.36902344633578}, {'feature': 'following', 'impact': -0.363977797211401}, {'feature': 'link', 'impact': -0.333473547021569}, {'feature': 'thank', 'impact': -0.30390935748668424}, {'feature': 'know', 'impact': -0.24972333693953136}, {'feature': 'questions', 'impact': -0.21206224935228996}, {'feature': 'best', 'impact': 0.17319951855123392}]"
2025-10-25T08:17:19.429136,Following up on today's webinar,"Thank you for attending the webinar earlier today. It was great to have you there.
Here is the link to the recording for your reference: [Link to recording]
Please let me know if you have any questions after reviewing the materials.
Best regards,",legit,0.7223182958124288,"[{'feature': 'email', 'impact': 0.6829545477648767}, {'feature': 'regards', 'impact': -0.36902344633578}, {'feature': 'following', 'impact': -0.363977797211401}, {'feature': 'link', 'impact': -0.333473547021569}, {'feature': 'thank', 'impact': -0.30390935748668424}, {'feature': 'know', 'impact': -0.24972333693953136}, {'feature': 'questions', 'impact': -0.21206224935228996}, {'feature': 'best', 'impact': 0.17319951855123392}]"
2025-10-25T08:17:19.997978,Following up on today's webinar,"Thank you for attending the webinar earlier today. It was great to have you there.
Here is the link to the recording for your reference: [Link to recording]
Please let me know if you have any questions after reviewing the materials.
Best regards,",legit,0.7223182958124288,"[{'feature': 'email', 'impact': 0.6829545477648767}, {'feature': 'regards', 'impact': -0.36902344633578}, {'feature': 'following', 'impact': -0.363977797211401}, {'feature': 'link', 'impact': -0.333473547021569}, {'feature': 'thank', 'impact': -0.30390935748668424}, {'feature': 'know', 'impact': -0.24972333693953136}, {'feature': 'questions', 'impact': -0.21206224935228996}, {'feature': 'best', 'impact': 0.17319951855123392}]"
2025-10-25T08:17:20.173546,Following up on today's webinar,"Thank you for attending the webinar earlier today. It was great to have you there.
Here is the link to the recording for your reference: [Link to recording]
Please let me know if you have any questions after reviewing the materials.
Best regards,",legit,0.7223182958124288,"[{'feature': 'email', 'impact': 0.6829545477648767}, {'feature': 'regards', 'impact': -0.36902344633578}, {'feature': 'following', 'impact': -0.363977797211401}, {'feature': 'link', 'impact': -0.333473547021569}, {'feature': 'thank', 'impact': -0.30390935748668424}, {'feature': 'know', 'impact': -0.24972333693953136}, {'feature': 'questions', 'impact': -0.21206224935228996}, {'feature': 'best', 'impact': 0.17319951855123392}]"
2025-10-25T08:17:20.327260,Following up on today's webinar,"Thank you for attending the webinar earlier today. It was great to have you there.
Here is the link to the recording for your reference: [Link to recording]
Please let me know if you have any questions after reviewing the materials.
Best regards,",legit,0.7223182958124288,"[{'feature': 'email', 'impact': 0.6829545477648767}, {'feature': 'regards', 'impact': -0.36902344633578}, {'feature': 'following', 'impact': -0.363977797211401}, {'feature': 'link', 'impact': -0.333473547021569}, {'feature': 'thank', 'impact': -0.30390935748668424}, {'feature': 'know', 'impact': -0.24972333693953136}, {'feature': 'questions', 'impact': -0.21206224935228996}, {'feature': 'best', 'impact': 0.17319951855123392}]"
